Date,Tick,Close,Polarity,News
2016-12-13,Q,79.32,0.0,0
2016-12-14,Q,79.39,0.999999000001,1
2016-12-15,Q,80.54,0.0,0
2016-12-16,Q,77.88,0.0,0
2016-12-17,Q,77.48,0.0,0
2016-12-18,Q,77.08,0.0,0
2016-12-19,Q,76.68,0.0,0
2016-12-20,Q,76.89,0.0,1
2016-12-21,Q,75.44,0.0,0
2016-12-22,Q,74.95,-0.999999000001,1
2016-12-23,Q,76.22,0.0,1
2016-12-24,Q,76.1275,0.0,0
2016-12-25,Q,76.035,0.0,0
2016-12-26,Q,75.9425,0.0,0
2016-12-27,Q,75.85,0.0,0
2016-12-28,Q,75.96,0.0,0
2016-12-29,Q,75.88,0.0,0
2016-12-30,Q,76.05,0.0,1
2016-12-31,Q,76.27,0.0,0
2017-01-01,Q,76.49,0.0,0
2017-01-02,Q,76.71,0.0,0
2017-01-03,Q,76.93,0.999999000001,1
2017-01-04,Q,77.28,-0.999999000001,1
2017-01-05,Q,77.0,0.0,0
2017-01-06,Q,77.82,0.0,0
2017-01-07,Q,77.8766666667,0.0,0
2017-01-08,Q,77.9333333333,0.0,0
2017-01-09,Q,77.99,-0.999999000001,1
2017-01-10,Q,77.88,0.999999000001,1
2017-01-11,Q,76.98,0.0,0
2017-01-12,Q,77.19,0.0,0
2017-01-13,Q,77.16,0.0,0
2017-01-14,Q,77.0675,0.0,0
2017-01-15,Q,76.975,0.0,0
2017-01-16,Q,76.8825,0.0,0
2017-01-17,Q,76.79,-0.9999995,1
2017-01-18,Q,75.59,0.0,0
2017-01-19,Q,76.07,0.0,0
2017-01-20,Q,76.1,0.0,0
2017-01-21,Q,76.0166666667,0.0,0
2017-01-22,Q,75.9333333333,0.0,0
2017-01-23,Q,75.85,0.0,0
2017-01-24,Q,75.35,0.0,0
2017-01-25,Q,75.53,0.0,0
2017-01-26,Q,75.54,0.0,0
2017-01-27,Q,76.36,0.0,0
2017-01-28,Q,76.0233333333,0.0,0
2017-01-29,Q,75.6866666667,0.0,0
2017-01-30,Q,75.35,0.0,0
2017-01-31,Q,78.49,-0.9999995,1
2017-02-01,Q,78.56,-0.999999000001,1
2017-02-02,Q,78.21,0.0,0
2017-02-03,Q,77.62,0.0,0
2017-02-04,Q,77.6633333333,0.0,0
2017-02-05,Q,77.7066666667,0.0,0
2017-02-06,Q,77.75,0.0,1
2017-02-07,Q,77.99,0.0,0
2017-02-08,Q,78.13,0.0,0
2017-02-09,Q,78.85,0.0,0
2017-02-10,Q,79.56,0.0,0
2017-02-11,Q,79.7066666667,0.0,0
2017-02-12,Q,79.8533333333,0.0,0
2017-02-13,Q,80.0,0.0,1
2017-02-14,Q,82.3,1.33333222222,1
2017-02-15,Q,77.85,0.0,1
2017-02-16,Q,76.87,0.0,1
2017-02-17,Q,76.75,0.0,0
2017-02-18,Q,76.625,0.0,0
2017-02-19,Q,76.5,0.0,0
2017-02-20,Q,76.375,0.0,0
2017-02-21,Q,76.25,0.0,1
2017-02-22,Q,77.35,-1.999998,1
2017-02-23,Q,78.12,0.0,1
2017-02-24,Q,77.64,0.0,1
2017-02-25,Q,78.25,0.0,0
2017-02-26,Q,78.86,0.0,0
2017-02-27,Q,79.47,0.0,0
2017-02-28,Q,77.39,0.0,1
2017-03-01,Q,77.1,0.0,0
2017-03-02,Q,76.78,0.0,0
2017-03-03,Q,77.85,0.0,1
2017-03-04,Q,77.8666666667,0.0,0
2017-03-05,Q,77.8833333333,0.0,0
2017-03-06,Q,77.9,-0.999999000001,1
2017-03-07,Q,77.48,0.0,0
2017-03-08,Q,79.13,0.0,0
2017-03-09,Q,79.8,0.0,0
2017-03-10,Q,80.7,0.0,0
2017-03-11,Q,80.6466666667,0.0,0
2017-03-12,Q,80.5933333333,0.0,0
2017-03-13,Q,80.54,0.0,0
2017-03-14,Q,79.63,0.0,1
2017-03-15,Q,80.84,0.999999000001,1
2017-03-16,Q,80.41,0.0,0
2017-03-17,Q,81.51,0.0,0
2017-03-18,Q,81.0066666667,0.9999995,1
2017-03-19,Q,80.5033333333,0.0,0
2017-03-20,Q,80.0,0.0,0
2017-03-21,Q,77.92,0.0,0
2017-03-22,Q,77.53,0.0,0
2017-03-23,Q,77.47,0.999999666667,1
2017-03-24,Q,77.99,0.0,0
2017-03-25,Q,78.2266666667,0.0,0
2017-03-26,Q,78.4633333333,0.0,0
2017-03-27,Q,78.7,-0.999999000001,1
2017-03-28,Q,78.7,0.0,1
2017-03-29,Q,80.15,0.0,0
2017-03-30,Q,79.93,-0.9999995,1
2017-03-31,Q,80.53,0.0,1
2017-04-01,Q,80.36,0.0,0
2017-04-02,Q,80.19,0.0,0
2017-04-03,Q,80.02,0.0,1
2017-04-04,Q,78.85,0.0,0
2017-04-05,Q,78.23,0.0,0
2017-04-06,Q,79.33,-0.999999000001,1
2017-04-07,Q,79.19,0.0,0
2017-04-08,Q,79.0766666667,0.0,0
2017-04-09,Q,78.9633333333,0.0,0
2017-04-10,Q,78.85,0.0,0
2017-04-11,Q,78.76,0.0,0
2017-04-12,Q,78.67,0.0,0
2017-04-13,Q,78.95,0.0,0
2017-04-14,Q,79.0825,0.0,0
2017-04-15,Q,79.215,0.0,0
2017-04-16,Q,79.3475,0.0,0
2017-04-17,Q,79.48,0.0,0
2017-04-18,Q,79.99,0.0,0
2017-04-19,Q,81.3,0.0,1
2017-04-20,Q,82.88,0.0,0
2017-04-21,Q,82.25,0.0,0
2017-04-22,Q,82.4166666667,0.0,0
2017-04-23,Q,82.5833333333,0.0,0
2017-04-24,Q,82.75,0.714285612245,1
2017-04-25,Q,82.65,0.0,1
2017-04-26,Q,83.02,0.0,0
2017-04-27,Q,83.68,0.0,0
